sads_wo_nose,kisses_wo_nose,smiley_wo_nose,kiss_w_nose,sad_wo_nose,skeptic_wo_nose,smiley_w_nose,wink_wo_nose,suprised_wo_nose_small,sad_w_nose,skeptics_wo_nose,kiss_wo_nose,wink_w_nose,smiley,wink,sad,kiss,skeptic,suprised,cyrillic,dot,ne_joined_verb,lowercase,number,diacritics,punctuation,spaces_after_punctuation,exclamation_mark,bad_question,uppercase,comma,umlauts,len,question_mark,non_capital_sent,consecutive_characters,alpha,bad_dot,dz,max,disi,hey,gdi,zab,faceu,cet,tel,pon,inz,drz,odg,nmg,mjok,dog,jbg,fax,jbt,pvo,bani,izvolte,fala,bga,net,pozzz,poz,eo,dejt,sec,nnc,aham,vrv,ned,dr,jem,isklj,desi,sept,vib,smthn,pliz,tj,cetv,god,por,dop,esi,itd,simpa,fix,zvrcni,kolok,ajoj,ofkors,dje,jelde,kul,vs,dja,tnx,ae,jes,mob,npr,takm,doca,deste,cao,bgu,pozd,cek,rodj,fejsu,nzm,faxa,hej,faxu,des,di,gl,narafski,al,koj,ing,koa,vamo,juhu,wcu,dadada,ng,zv,bg,diste,fbu,mos,il,msm,np,zad,ej,pls,zvrc,gud,ok,dipl,mda,fb,pozz,komp,najvrv,k,rlab,fak,stv,cimni,jel,alg,ustv,wca,mix,aj,kred,min,bzvz,vcs,exclamation_mark_len_ratio,question_mark_len_ratio,dot_len_ratio,comma_len_ratio,punctuation_len_ratio,alpha_len_ratio,diacritics_len_ratio,umlauts_len_ratio,uppercase_len_ratio,lowercase_len_ratio,number_len_ratio,uppercase_lowercase_ratio,punctuation_alpha_ratio,number_alpha_ratio,cyrillic_len_ratio,cyrillic_alpha_ratio,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,133,0,0,4,3,0,0,0,1,0,159,0,2,1,133,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.012578616352201259,0.006289308176100629,0.025157232704402517,0.8364779874213837,0.0,0.0,0.0,0.8364779874213837,0.0,0.0,0.03007518796992481,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,40,0,21,8,0,0,0,3,0,155,1,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0064516129032258064,0.0,0.01935483870967742,0.13548387096774195,0.5032258064516129,0.0,0.0,0.0,0.5032258064516129,0.25806451612903225,0.0,0.2692307692307692,0.5128205128205128,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,2,0,0,0,2,0,32,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.03125,0.0,0.0625,0.09375,0.6875,0.0,0.0,0.0,0.6875,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,133,0,0,4,3,0,0,0,1,0,159,0,2,1,133,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.012578616352201259,0.006289308176100629,0.025157232704402517,0.8364779874213837,0.0,0.0,0.0,0.8364779874213837,0.0,0.0,0.03007518796992481,0.0,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,108,16,0,7,1,0,0,0,0,0,152,0,1,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.013157894736842105,0.0,0.046052631578947366,0.7105263157894737,0.0,0.0,0.0,0.7105263157894737,0.10526315789473684,0.0,0.06481481481481481,0.14814814814814814,0.0,0.0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,1,0,0,0,0,0,35,1,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.02857142857142857,0.0,0.0,0.05714285714285714,0.7714285714285715,0.0,0.0,0.0,0.7714285714285715,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,9,3,1,0,0,0,0,56,2,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857142857142856,0.03571428571428571,0.0,0.0,0.16071428571428573,0.6428571428571429,0.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.25,0.0,0.0,0.0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,2,1,0,0,0,0,0,34,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.029411764705882353,0.0,0.058823529411764705,0.7647058823529411,0.0,0.0,0.0,0.7647058823529411,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,95,0,0,7,3,0,0,0,0,0,126,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.015873015873015872,0.0,0.05555555555555555,0.753968253968254,0.0,0.0,0.0,0.753968253968254,0.0,0.0,0.07368421052631578,0.0,0.0,0.0,1
